"Team #","Award Group","Team Name","Organization","Judging Group","Design","Project","Core Values","Practice #1","Practice 1 Table","Perf #1","Perf 1 Table","Perf #2","Perf 2 Table","Perf #3","Perf 3 Table"
"69","State","Ultra LEGO Creators","Neighborhood","Lakes","11:30","10:30","9:00","8:30","Purple 1","9:50","Blue 1","11:10","Yellow 1","1:00","Red 2"
"191","State","JP2 Remix","Sherburne County 4-H","Marshes","11:10","10:00","12:40","9:20","Purple 2","10:50","Yellow 1","11:50","Green 1","1:30","Green 2"
"2257","State","Bethune Bro's","Bethune Community School","Marshes","12:00","10:50","9:20","8:40","Blue 1","10:00","Red 1","11:30","Purple 1","1:20","Green 1"
"2268","State","Urban Donkeyz","Field Community School","Rivers","12:20","11:10","9:40","9:00","Blue 2","10:40","Purple 2","12:00","Green 2","1:40","Orange 2"
"2269","State","Ogre Eating Bunnies","Field Community School","Prairie","12:40","11:30","10:00","9:10","Orange 1","10:50","Red 2","12:10","Blue 1","1:50","Green 1"
"2270","State","""E""","Field Community School","Woods","11:30","10:30","9:00","8:30","Blue 1","9:50","Yellow 1","11:10","Orange 1","1:00","Blue 2"
"2274","State","Indium and the Angry Tree Huggers","Field Community School","Lakes","9:20","12:20","10:50","8:50","Purple 2","10:30","Yellow 2","12:00","Blue 2","1:40","Red 1"
"2294","State","JJAT Construction","Lake Harriet Upper","Lakes","9:00","12:00","10:30","8:30","Purple 2","9:40","Yellow 2","11:20","Green 1","1:10","Red 2"
"2296","State","Team Tux","Lake Harriet Upper","Rivers","12:00","10:50","9:20","8:40","Orange 1","10:00","Purple 1","11:30","Red 1","1:20","Orange 2"
"2300","State","Boxtopia","Lake Nokomis Community School -Keewaydin","Snow","11:30","10:30","9:00","8:30","Yellow 1","9:50","Red 2","11:10","Orange 2","1:00","Purple 2"
"3272","State","JP2 Fireworks","Sherburne County 4H","Rivers","11:30","10:30","9:00","8:30","Orange 1","9:50","Red 1","11:10","Green 1","1:00","Orange 2"
"3863","State","L.E.G.S.","Capitol Hill","Rivers","12:40","11:30","10:00","9:10","Yellow 1","10:50","Green 1","12:10","Yellow 2","1:50","Green 2"
"3884","State","LEGO Wizards","Capitol Hill","Snow","12:00","10:50","9:20","8:40","Purple 1","10:00","Blue 2","11:30","Yellow 1","1:20","Purple 2"
"3896","State","Panda Professors","Murray Middle School","Rivers","9:00","12:00","10:30","8:30","Orange 2","9:40","Yellow 1","11:20","Orange 1","1:10","Green 1"
"3899","State","Brick Birds","OWL","Woods","12:00","10:50","9:20","8:40","Green 1","10:00","Yellow 2","11:30","Orange 1","1:20","Blue 1"
"3903","State","Crazy Crosswalkerz","Horace Mann","Marshes","12:20","11:10","9:40","9:00","Red 1","10:40","Blue 2","12:00","Yellow 1","1:40","Green 2"
"3919","State","Oh the HuManatee","Murray Middle School","Prairie","12:00","10:50","9:20","8:40","Yellow 1","10:00","Blue 1","11:30","Purple 2","1:20","Blue 2"
"4715","State","Plaidiators","Grace Homeschool","Woods","12:20","11:10","9:40","9:00","Blue 1","10:40","Orange 1","12:00","Yellow 2","1:40","Blue 2"
"5501","State","Robo Dweebs","Two Harbors High School","Snow","12:20","11:10","9:40","9:00","Red 2","10:40","Green 1","12:00","Orange 1","1:40","Purple 2"
"6962","State","The Nerd Herd","Berea Lutheran","Lakes","12:00","10:50","9:20","8:40","Red 1","10:00","Orange 2","11:30","Blue 1","1:20","Red 2"
"7391","State","Brick Blasters","Mankato Community Education & Recreation","Snow","12:40","11:30","10:00","9:10","Blue 1","10:50","Red 1","12:10","Yellow 1","1:50","Purple 1"
"7472","State","Giant Blue Picnic Tables","Heritage E-STEM Magnet School","Prairie","12:20","11:10","9:40","9:00","Green 2","10:40","Purple 1","12:00","Blue 1","1:40","Yellow 2"
"9260","State","Wayzata West Robo Trojans","Wayzata West Middle School","Prairie","11:30","10:30","9:00","8:30","Green 1","9:50","Blue 2","11:10","Purple 1","1:00","Yellow 2"
"10987","State","Knight Vision","St. Odilia School","Woods","12:40","11:30","10:00","9:10","Purple 1","10:50","Orange 2","12:10","Red 1","1:50","Purple 2"
"11879","State","H.O.P.E.","Dakota Hills/Pinewood","Prairie","9:00","12:00","10:30","8:30","Green 2","9:40","Red 2","11:20","Purple 1","1:10","Yellow 2"
"15944","State","The 80's","Forestview Middle School","Woods","9:00","12:00","10:30","8:30","Blue 2","9:40","Purple 2","11:20","Green 2","1:10","Blue 1"
"17383","State","No Air Force","Saint Paul Academy","Woods","9:20","12:20","10:50","8:50","Green 1","10:30","Orange 2","12:00","Red 1","1:40","Blue 1"
"17828","State","Hi-Ho LEGO!","Friends","Prairie","9:40","12:40","11:10","9:00","Purple 2","10:40","Green 2","11:50","Red 2","1:30","Yellow 1"
"17915","State","RoboBros","Saint Peter Area Robotics","Snow","9:00","12:00","10:30","8:30","Yellow 2","9:40","Blue 2","11:20","Orange 2","1:10","Purple 2"
"21024","State","Genesis","BeckerFIRST","Marshes","12:40","11:30","10:00","9:10","Yellow 2","10:50","Blue 1","12:10","Blue 2","1:50","Orange 2"
"21231","State","The Wolves","Breck School","Snow","9:20","12:20","10:50","8:50","Yellow 2","10:30","Blue 2","12:00","Red 2","1:40","Purple 1"
"21286","State","The District Office","South View and Valley View Middle School","Marshes","9:00","12:00","10:30","8:30","Red 2","9:40","Orange 2","11:20","Purple 2","1:10","Green 2"
"21330","State","RoboSaints Skyscrapers","St. Joseph Catholic STEM School","Lakes","10:00","9:00","11:30","8:40","Red 2","9:40","Green 1","11:00","Blue 1","1:00","Red 1"
"22242","State","Knights of the Polygonal Table","Neighborhood","Rivers","9:40","12:40","11:10","9:00","Yellow 2","10:40","Blue 1","11:50","Red 1","1:30","Orange 1"
"23254","State","Lego City on a Hill","Homeschool","Marshes","9:20","12:20","10:50","8:50","Blue 2","10:30","Yellow 1","12:00","Purple 2","1:40","Green 1"
"23908","State","Robo Maniacs","community","Lakes","10:30","9:20","12:00","8:50","Orange 1","10:00","Green 1","11:10","Purple 2","1:10","Red 1"
"24166","State","Cybernetics","Chisago County 4-H","Rivers","9:20","12:20","10:50","8:50","Green 2","10:30","Red 2","12:00","Purple 1","1:40","Orange 1"
"25741","State","The A Team","Crucifixion Catholic School","Woods","9:40","12:40","11:10","9:00","Yellow 1","10:40","Red 2","11:50","Purple 2","1:30","Blue 1"
"25853","State","Urban Lions","neighborhood","Lakes","12:20","11:10","9:40","9:00","Orange 1","10:40","Yellow 1","12:00","Green 1","1:40","Red 2"
"27321","State","Team Curiosity","Eden Prairie Schools","Woods","10:00","9:00","11:30","8:40","Green 2","9:40","Red 1","11:00","Blue 2","1:00","Blue 1"
"28292","State","BASK LAB","ISD 99 - ESKO","Prairie","10:00","9:00","11:30","8:40","Yellow 2","9:40","Orange 1","11:00","Red 1","1:00","Yellow 1"
"30605","State","Ecobots","Southview Elementary","Snow","9:40","12:40","11:10","9:00","Orange 2","10:40","Red 1","11:50","Yellow 1","1:30","Purple 1"
"31520","State","The Brainiac Maniacs","Chippewa Middle School","Marshes","10:00","9:00","11:30","8:40","Blue 2","9:40","Purple 1","11:00","Red 2","1:00","Green 1"
"31732","State","Wonderful Weeping Willows","Cool 6th Grade Girls of Edina, LLC","Woods","10:30","9:20","12:00","8:50","Yellow 1","10:00","Orange 1","11:10","Green 2","1:10","Blue 2"
