"team_name","team_number","affiliation","award_group","judging_group","tournament"
"Ultra LEGO Creators","69","Neighborhood","State","Lakes","State"
"JP2 Remix","191","Sherburne County 4-H","State","Marshes","State"
"Bethune Bro's","2257","Bethune Community School","State","Marshes","State"
"Urban Donkeyz","2268","Field Community School","State","Rivers","State"
"Ogre Eating Bunnies","2269","Field Community School","State","Prairie","State"
"""E""","2270","Field Community School","State","Woods","State"
"Indium and the Angry Tree Huggers","2274","Field Community School","State","Lakes","State"
"JJAT Construction","2294","Lake Harriet Upper","State","Lakes","State"
"Team Tux","2296","Lake Harriet Upper","State","Rivers","State"
"Boxtopia","2300","Lake Nokomis Community School -Keewaydin","State","Snow","State"
"JP2 Fireworks","3272","Sherburne County 4H","State","Rivers","State"
"L.E.G.S.","3863","Capitol Hill","State","Rivers","State"
"LEGO Wizards","3884","Capitol Hill","State","Snow","State"
"Panda Professors","3896","Murray Middle School","State","Rivers","State"
"Brick Birds","3899","OWL","State","Woods","State"
"Crazy Crosswalkerz","3903","Horace Mann","State","Marshes","State"
"Oh the HuManatee","3919","Murray Middle School","State","Prairie","State"
"Plaidiators","4715","Grace Homeschool","State","Woods","State"
"Robo Dweebs","5501","Two Harbors High School","State","Snow","State"
"The Nerd Herd","6962","Berea Lutheran","State","Lakes","State"
"Brick Blasters","7391","Mankato Community Education & Recreation","State","Snow","State"
"Giant Blue Picnic Tables","7472","Heritage E-STEM Magnet School","State","Prairie","State"
"Wayzata West Robo Trojans","9260","Wayzata West Middle School","State","Prairie","State"
"Knight Vision","10987","St. Odilia School","State","Woods","State"
"H.O.P.E.","11879","Dakota Hills/Pinewood","State","Prairie","State"
"The 80's","15944","Forestview Middle School","State","Woods","State"
"No Air Force","17383","Saint Paul Academy","State","Woods","State"
"Hi-Ho LEGO!","17828","Friends","State","Prairie","State"
"RoboBros","17915","Saint Peter Area Robotics","State","Snow","State"
"Genesis","21024","BeckerFIRST","State","Marshes","State"
"The Wolves","21231","Breck School","State","Snow","State"
"The District Office","21286","South View and Valley View Middle School","State","Marshes","State"
"RoboSaints Skyscrapers","21330","St. Joseph Catholic STEM School","State","Lakes","State"
"Knights of the Polygonal Table","22242","Neighborhood","State","Rivers","State"
"Lego City on a Hill","23254","Homeschool","State","Marshes","State"
"Robo Maniacs","23908","community","State","Lakes","State"
"Cybernetics","24166","Chisago County 4-H","State","Rivers","State"
"The A Team","25741","Crucifixion Catholic School","State","Woods","State"
"Urban Lions","25853","neighborhood","State","Lakes","State"
"Team Curiosity","27321","Eden Prairie Schools","State","Woods","State"
"BASK LAB","28292","ISD 99 - ESKO","State","Prairie","State"
"Ecobots","30605","Southview Elementary","State","Snow","State"
"The Brainiac Maniacs","31520","Chippewa Middle School","State","Marshes","State"
"Wonderful Weeping Willows","31732","Cool 6th Grade Girls of Edina, LLC","State","Woods","State"
"SMS Gaters","31935","Stillwater Middle School","State","Marshes","State"
"Brainiacs","32931","Century Middle School","State","Lakes","State"
"CALM: It's just an acronym","37796","Neighborhood Team","State","Rivers","State"
"Tweenagers","38582","Chippewa Middle School","State","Rivers","State"
"LEGO Llamas","38704","Neighborhood","State","Snow","State"
"Martian-Mallows","39199","Oak Hills Elem (OHE), Lakeview Elem (LVE), McGuire Middle School (MMS)","State","Prairie","State"
"Zero Gravity","41223","Eden Prairie Schools","State","Lakes","State"
"Artificial Intelligence","41748","Oak Grove Elementary","State","Woods","State"
"The Great Gatsbys","42119","Minneapolis","State","Marshes","State"
"Turbo Technicians","42530","Neighborhood","State","Prairie","State"
"Hydra","42736","Eagle Ridge Academy","State","Marshes","State"
"The CIA","45506","Chippewa Middle","State","Prairie","State"
"Fibonacci Fury","45753","Neighborhood","State","Lakes","State"
"The Bagel Bytes","46221","Wayzata Central Middle School","State","Prairie","State"
"Best of the Bots","46301","Basswood","State","Snow","State"
"Minnetonka MMW","46413","Minnetonka Middle School West","State","Rivers","State"
"The Furry Wookiees","47099","South View Middle School","State","Marshes","State"
"Woodbury G.A.M.E.R.S.","47116","Woodbury Middle School","State","Woods","State"
"Mayonnaise is an Instrument","47975","Minnetonka Community Ed","State","Rivers","State"
"Lucky Architects and Partying Humans (LAPH)","48339","Kimberly Ln Elementary","State","Snow","State"
"Aqua Dragons","48906","Math & Science Academy","State","Lakes","State"
